Figure 2: Cumulative number of deaths involving COVID-19 in Scotland using different data sources 2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date1,Cumulative Count,Source,,,,,,,,,,,
3/13/2020,1,HPS,,,,,,,,,,,
3/14/2020,1,HPS,,,,,,,,,,,
3/15/2020,1,HPS,,,,,,,,,,,
3/16/2020,2,HPS,,,,,,,,,,,
3/17/2020,3,HPS,,,,,,,,,,,
3/18/2020,6,HPS,,,,,,,,,,,
3/19/2020,6,HPS,,,,,,,,,,,
3/20/2020,7,HPS,,,,,,,,,,,
3/21/2020,10,HPS,,,,,,,,,,,
3/22/2020,14,HPS,,,,,,,,,,,
3/23/2020,16,HPS,,,,,,,,,,,
3/24/2020,22,HPS,,,,,,,,,,,
3/25/2020,25,HPS,,,,,,,,,,,
3/26/2020,33,HPS,,,,,,,,,,,
3/27/2020,40,HPS,,,,,,,,,,,
3/28/2020,41,HPS,,,,,,,,,,,
3/29/2020,47,HPS,,,,,,,,,,,
3/30/2020,69,HPS,,,,,,,,,,,
3/31/2020,97,HPS,,,,,,,,,,,
4/1/2020,126,HPS,,,,,,,,,,,
4/2/2020,172,HPS,,,,,,,,,,,
4/3/2020,218,HPS,,,,,,,,,,,
4/4/2020,220,HPS,,,,,,,,,,,
4/5/2020,222,HPS,,,,,,,,,,,
4/6/2020,296,HPS,,,,,,,,,,,
4/7/2020,366,HPS,,,,,,,,,,,
4/8/2020,447,HPS,,,,,,,,,,,
4/9/2020,495,HPS,,,,,,,,,,,
4/10/2020,542,HPS,,,,,,,,,,,
4/11/2020,566,HPS,,,,,,,,,,,
4/12/2020,575,HPS,,,,,,,,,,,
4/13/2020,615,HPS,,,,,,,,,,,
4/14/2020,699,HPS,,,,,,,,,,,
4/15/2020,779,HPS,,,,,,,,,,,
4/16/2020,837,HPS,,,,,,,,,,,
4/17/2020,893,HPS,,,,,,,,,,,
4/18/2020,903,HPS,,,,,,,,,,,
4/19/2020,915,HPS,,,,,,,,,,,
4/20/2020,985,HPS,,,,,,,,,,,
4/21/2020,"1,062",HPS,,,,,,,,,,,
4/22/2020,"1,120",HPS,,,,,,,,,,,
4/23/2020,"1,184",HPS,,,,,,,,,,,
4/24/2020,"1,231",HPS,,,,,,,,,,,
4/25/2020,"1,249",HPS,,,,,,,,,,,
4/26/2020,"1,262",HPS,,,,,,,,,,,
4/27/2020,"1,332",HPS,,,,,,,,,,,
4/28/2020,"1,415",HPS,,,,,,,,,,,
4/29/2020,"1,475",HPS,,,,,,,,,,,
4/30/2020,"1,515",HPS,,,,,,,,,,,
5/1/2020,"1,559",HPS,,,,,,,,,,,
5/2/2020,"1,571",HPS,,,,,,,,,,,
5/3/2020," 1,576 ",HPS,,,,,,,,,,,
3/13/2020,0,NRS,,,,,,,,,,,
3/14/2020,0,NRS,,,,,,,,,,,
3/15/2020,0,NRS,,,,,,,,,,,
3/16/2020,0,NRS,,,,,,,,,,,
3/17/2020,2,NRS,,,,,,,,,,,
3/18/2020,5,NRS,,,,,,,,,,,
3/19/2020,6,NRS,,,,,,,,,,,
3/20/2020,10,NRS,,,,,,,,,,,
3/21/2020,10,NRS,,,,,,,,,,,
3/22/2020,10,NRS,,,,,,,,,,,
